,item_id,item_category_id,name2,name3,item_price,subtype_code,type_code
0,0,40,4,1331,58.0,4,5
1,2,40,4,1011,58.0,4,5
2,3,40,4,1010,79.0,4,5
3,4,40,4,1572,58.0,4,5
4,5,40,4,1008,28.0,4,5
5,6,40,4,1008,100.0,4,5
6,7,40,4,1008,28.0,4,5
7,8,40,4,42,58.0,4,5
8,9,40,4,1008,58.0,4,5
9,10,40,4,42,28.0,4,5
10,11,40,4,42,58.0,4,5
11,13,40,4,42,58.0,4,5
12,14,40,4,42,28.0,4,5
13,15,40,4,1367,58.0,4,5
14,16,40,4,1367,58.0,4,5
15,17,40,4,1367,98.0,4,5
16,18,40,4,42,58.0,4,5
17,19,40,4,42,28.0,4,5
18,20,40,4,42,58.0,4,5
19,21,40,4,42,58.0,4,5
20,22,40,4,42,28.0,4,5
21,23,40,4,42,28.0,4,5
22,24,40,4,42,98.0,4,5
23,25,40,4,42,58.0,4,5
24,26,40,4,1536,58.0,4,5
25,30,40,4,42,323.6792055458004,4,5
26,32,40,4,42,249.6292402183806,4,5
27,34,40,4,1367,144.21311475409837,4,5
28,35,40,4,42,375.8280555555556,4,5
29,37,40,4,1367,143.69103448275862,4,5
30,43,40,4,42,167.22222222222223,4,5
31,63,40,4,42,141.14166666666668,4,5
32,64,40,4,1367,129.04425531914896,4,5
33,67,40,4,1367,144.2923076923077,4,5
34,72,40,4,1367,116.00689655172413,4,5
35,73,40,4,1367,52.111111111111114,4,5
36,75,40,4,1367,142.10588235294117,4,5
37,77,40,4,1367,309.3425246826517,4,5
38,78,40,4,42,391.0817073170732,4,5
39,79,40,4,42,395.4736842105263,4,5
40,81,40,4,42,294.44,4,5
41,84,40,4,42,141.0,4,5
42,86,40,4,1367,38.0,4,5
43,88,40,4,1367,139.8186046511628,4,5
44,89,40,4,42,136.35714285714286,4,5
45,90,40,4,42,395.19397163120567,4,5
46,94,40,4,42,171.9090909090909,4,5
47,95,40,4,42,259.0,4,5
48,96,40,4,1367,145.23809523809524,4,5
49,97,40,4,1367,143.10630252100842,4,5
50,98,40,4,42,379.74057142857146,4,5
51,100,40,4,1367,141.27692307692308,4,5
52,933,40,4,42,275.625,4,5
53,934,40,4,42,302.3751515151515,4,5
54,936,40,4,1367,149.0,4,5
55,937,40,4,42,290.7916666666667,4,5
56,938,40,4,42,399.0,4,5
57,939,40,4,42,399.0,4,5
58,940,40,4,42,399.0,4,5
59,941,40,4,42,38.0,4,5
60,945,40,4,1367,138.32432432432432,4,5
61,946,40,4,1367,81.0,4,5
62,947,40,4,1367,131.9569230769231,4,5
63,953,40,4,1367,136.88524590163934,4,5
64,954,40,4,42,329.3333333333333,4,5
65,957,40,4,42,388.60383275261324,4,5
66,959,40,4,1367,146.7605633802817,4,5
67,960,40,4,42,396.02764976958525,4,5
68,962,40,4,1367,151.73465909090908,4,5
69,966,40,4,1642,27.0,4,5
